"year","leaid","lea_name","state_name","city_location","agency_type","enrollment"
"2018","3404230","East Orange School District","New Jersey","East Orange","Regular local school district","10072"
"2017","3404230","East Orange School District","New Jersey","East Orange","Regular local school district","9937"
"2016","3404230","East Orange School District","New Jersey","East Orange","Regular local school district","10028"
"2015","3404230","East Orange School District","New Jersey","East Orange","Regular local school district","10261"
"2014","3404230","East Orange School District","New Jersey","East Orange","Regular local school district","10858"
"2013","3404230","EAST ORANGE SCHOOL DISTRICT","New Jersey","EAST ORANGE","Regular local school district","9465"
"2012","3404230","EAST ORANGE SCHOOL DISTRICT","New Jersey","EAST ORANGE","Regular local school district","9660"
"2011","3404230","EAST ORANGE","New Jersey","EAST ORANGE","Regular local school district","9709"
"2010","3404230","EAST ORANGE","New Jersey","EAST ORANGE","Regular local school district","11989"
"2009","3404230","EAST ORANGE","New Jersey","EAST ORANGE","Regular local school district","10053"
"2008","3404230","EAST ORANGE","New Jersey","EAST ORANGE","Regular local school district","9741"
"2007","3404230","EAST ORANGE","New Jersey","EAST ORANGE","Regular local school district","9893"
"2006","3404230","EAST ORANGE","New Jersey","EAST ORANGE","Regular local school district","10242"
"2005","3404230","EAST ORANGE","New Jersey","EAST ORANGE","Regular local school district","10797"
"2004","3404230","EAST ORANGE","New Jersey","EAST ORANGE","Regular local school district","11252"
"2003","3404230","EAST ORANGE","New Jersey","EAST ORANGE","Regular local school district","12403"
"2002","3404230","EAST ORANGE","New Jersey","EAST ORANGE","Regular local school district","11762"
"2001","3404230","EAST ORANGE","New Jersey","EAST ORANGE","Regular local school district","11651"
"2000","3404230","EAST ORANGE","New Jersey","EAST ORANGE","Regular local school district","11277"
